ID,SalePrice,Garage,Overall Qual,Gr Liv Area,Total Bsmt SF,Lot Area,Year Built,Full Bath,Bedroom AbvGr,Neighborhood,House Style
1,215000,yes,6,1656,1080,31770,1960,1,3,NAmes,1Story
2,105000,yes,5,896,882,11622,1961,1,2,NAmes,1Story
3,172000,yes,6,1329,1329,14267,1958,1,3,NAmes,1Story
4,244000,yes,7,2110,2110,11160,1968,2,3,NAmes,1Story
5,189900,yes,5,1629,928,13830,1997,2,3,Gilbert,2Story
6,195500,yes,6,1604,926,9978,1998,2,3,Gilbert,2Story
7,213500,yes,8,1338,1338,4920,2001,2,2,StoneBr,1Story
8,191500,yes,8,1280,1280,5005,1992,2,2,StoneBr,1Story
9,236500,yes,8,1616,1595,5389,1995,2,2,StoneBr,1Story
10,189000,yes,7,1804,994,7500,1999,2,3,Gilbert,2Story
11,175900,yes,6,1655,763,10000,1993,2,3,Gilbert,2Story
12,185000,yes,6,1187,1168,7980,1992,2,3,Gilbert,1Story
13,180400,yes,6,1465,789,8402,1998,2,3,Gilbert,2Story
14,171500,yes,7,1341,1300,10176,1990,1,2,Gilbert,1Story
15,212000,yes,8,1502,1488,6820,1985,1,1,StoneBr,1Story
16,538000,yes,8,3279,1650,53504,2003,3,4,StoneBr,2Story
17,164000,yes,8,1752,559,12134,1988,2,4,Gilbert,1.5Fin
18,394432,yes,9,1856,1856,11394,2010,1,1,StoneBr,1Story
19,141000,yes,4,864,864,19138,1951,1,2,Gilbert,1Story
20,210000,yes,6,2073,1542,13175,1978,2,3,NWAmes,1Story
21,190000,yes,6,1844,1844,11751,1977,2,3,NWAmes,1Story
22,170000,yes,7,1173,1053,10625,1974,2,3,NWAmes,SFoyer
23,216000,yes,7,1674,814,7500,2000,2,3,Somerst,2Story
24,149000,yes,6,1004,1004,11241,1970,1,2,NAmes,1Story
25,149900,yes,5,1078,1078,12537,1971,1,3,NAmes,1Story
26,142000,yes,5,1056,1056,8450,1968,1,3,NAmes,1Story
27,126000,yes,4,882,882,8400,1970,1,2,NAmes,1Story
28,115000,no,4,864,864,10500,1971,1,3,NAmes,1Story
29,184000,yes,7,1337,1405,5858,1999,2,2,NAmes,1Story
30,96000,yes,6,987,483,1680,1971,1,2,BrDale,2Story
31,105500,yes,5,1092,525,1680,1971,1,3,BrDale,2Story
32,88000,yes,6,1092,525,1680,1971,1,3,BrDale,2Story
33,127500,yes,6,1069,1069,4043,1977,2,2,NPkVill,1Story
34,149900,yes,6,1456,855,2280,1975,2,3,NPkVill,2Story
35,120000,yes,7,836,836,2280,1975,1,2,NPkVill,1Story
36,146000,yes,6,1456,855,2280,1978,2,3,NPkVill,2Story
37,376162,yes,9,2334,1590,12858,2009,2,3,NridgHt,2Story
38,306000,yes,8,1704,1704,11478,2007,2,3,NridgHt,1Story
39,395192,yes,9,1940,1930,10159,2009,2,3,NridgHt,1Story
40,290941,yes,8,1544,1544,12883,2009,2,3,NridgHt,1Story
41,220000,yes,7,1541,1541,12182,2005,2,3,NridgHt,1Story
42,275000,yes,9,1698,1698,11520,2005,2,3,NridgHt,1Story
43,259000,yes,8,1822,1822,14122,2005,2,3,NridgHt,1Story
44,214000,yes,7,1535,1517,10171,2004,2,3,NridgHt,1Story
45,611657,yes,9,2364,2330,12919,2009,2,2,NridgHt,1Story
46,224000,yes,7,1358,1358,6371,2009,2,2,NridgHt,1Story
47,500000,yes,9,2696,2846,14300,2003,2,3,NridgHt,1Story
48,320000,yes,8,2250,1671,13650,2002,2,3,NridgHt,2Story
49,319900,yes,9,1752,1752,7658,2005,2,2,NridgHt,1Story
50,205000,yes,8,1370,1370,7132,2006,2,2,NridgHt,1Story
51,175500,yes,7,1626,764,2628,2003,2,2,NridgHt,2Story
52,199500,yes,6,1324,1324,18494,2005,2,3,Gilbert,1Story
53,160000,yes,7,1145,1145,3203,2006,2,2,Blmngtn,1Story
54,192000,yes,8,1269,1256,3182,2004,2,2,Blmngtn,1Story
55,184500,yes,7,1374,384,13300,2004,2,3,Gilbert,SLvl
56,216500,yes,6,1960,860,7851,2002,2,4,Gilbert,2Story
57,185088,yes,7,1733,847,8577,2004,2,3,Gilbert,2Story
58,180000,yes,7,1430,384,7750,2000,2,3,Gilbert,SLvl
59,222500,yes,7,2035,884,9505,2001,2,3,Gilbert,2Story
60,333168,yes,9,2599,1393,14774,1999,2,4,NoRidge,2Story
61,355000,yes,8,2475,1629,17433,1998,2,4,NoRidge,2Story
62,260400,yes,7,1720,1720,10593,1996,2,3,NoRidge,1Story
63,325000,yes,8,2622,1463,12256,1994,2,3,NoRidge,2Story
64,290000,yes,8,2270,1152,11764,1999,2,4,NoRidge,2Story
65,221000,yes,7,1839,1195,16770,1998,2,4,NoRidge,2Story
66,410000,yes,8,3238,2033,14720,1995,2,4,NoRidge,1.5Fin
67,221500,yes,8,1595,1595,8987,2005,2,2,Somerst,1Story
68,204500,yes,7,1218,1218,9215,2009,2,2,Somerst,1Story
69,215200,yes,7,1547,756,8640,2009,2,3,Somerst,2Story
70,262500,yes,8,1566,1566,9000,2008,2,3,Somerst,1Story
71,254900,yes,7,1947,991,12552,2004,2,3,Somerst,2Story
72,271500,yes,6,1468,1468,10440,2005,2,2,Somerst,1Story
73,233000,yes,7,2084,956,10142,2004,2,4,SawyerW,2Story
74,181000,yes,7,1659,831,11920,2004,2,3,SawyerW,2Story
75,205000,yes,7,2110,948,8880,1994,2,3,SawyerW,2Story
76,143000,yes,6,923,923,8012,1980,2,2,SawyerW,1Story
77,189000,yes,6,1845,1055,11218,1992,2,3,SawyerW,2Story
78,99500,yes,6,918,918,7892,1979,2,2,SawyerW,1Story
79,125000,yes,6,752,744,7175,1984,1,2,SawyerW,1Story
80,194500,yes,7,1744,996,9453,1993,2,3,SawyerW,2Story
81,152000,yes,6,1097,1040,9672,1984,2,3,SawyerW,1Story
82,171000,yes,6,1564,650,8400,1980,2,3,SawyerW,2Story
83,67500,yes,5,1012,816,9800,1920,1,2,SawyerW,1Story
84,112000,yes,6,1902,0,8930,1978,2,4,Sawyer,1.5Fin
85,148000,yes,5,1155,1109,11782,1961,1,3,Sawyer,SFoyer
86,138500,yes,5,894,894,8450,1965,1,3,Sawyer,1Story
87,122000,yes,5,900,882,9819,1967,1,3,Sawyer,1Story
88,133000,yes,5,1040,1040,7500,1963,1,3,Sawyer,1Story
89,127000,yes,5,1040,1040,6897,1962,1,3,Sawyer,1Story
90,169000,yes,6,1494,1208,15410,1974,2,3,Sawyer,1Story
91,190000,yes,7,1923,750,10186,1992,2,3,NoRidge,2Story
92,362500,yes,8,2349,1231,13143,1993,2,4,NoRidge,2Story
93,285000,yes,8,2225,1390,11134,1992,2,4,NoRidge,2Story
94,260000,yes,7,1488,1488,4835,2004,2,2,Somerst,1Story
95,190000,yes,7,1680,840,3515,2004,2,2,Somerst,2Story
96,155000,yes,7,1200,600,3215,2004,2,2,Somerst,2Story
97,151000,yes,7,1200,600,3182,2004,2,2,Somerst,2Story
